company_id,symbol,company_name,period,thesis_id,bms,state,evidence_count,earnings,economics,execution,balance_sheet,management_delivery
319,NETWEB,Netweb Technologies India Ltd.,Q2 FY26,319,0.19,mixed,4,0.76,0.0,0.0,0.0,0.0
320,NEULANDLAB,Neuland Laboratories Ltd.,Q2 FY26,320,0.0075,mixed,4,0.03,0.0,0.0,0.0,0.0
321,NEWGEN,Newgen Software Technologies Ltd.,Q2 FY26,321,0.3975,mixed,3,0.8,0.79,0.0,0.0,0.0
322,NH,Narayana Hrudayalaya Ltd.,Q2 FY26,322,0.2,mixed,2,0.8,0.0,0.0,0.0,0.0
323,NHPC,NHPC Ltd.,Q2 FY26,323,0.0125,mixed,2,0.81,-0.76,0.0,0.0,0.0
324,NLCINDIA,NLC India Ltd.,Q2 FY26,324,0.1875,mixed,4,0.76,-0.01,0.0,0.0,0.0
325,NMDC,NMDC Ltd.,Q2 FY26,325,0.19,mixed,5,0.79,-0.03,0.0,0.0,0.0
326,NSLNISP,NMDC Steel Ltd.,Q2 FY26,326,0.4025,improving,6,0.81,0.8,0.0,0.0,0.0
327,NTPC,NTPC Ltd.,Q2 FY26,327,0.2,mixed,1,0.0,0.8,0.0,0.0,0.0
328,NTPCGREEN,NTPC Green Energy Ltd.,Q2 FY26,328,0.405,improving,4,0.82,0.8,0.0,0.0,0.0
329,NUVAMA,Nuvama Wealth Management Ltd.,Q2 FY26,329,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
330,NUVOCO,Nuvoco Vistas Corporation Ltd.,Q2 FY26,330,0.405,improving,4,0.8,0.82,0.0,0.0,0.0
331,NYKAA,FSN E-Commerce Ventures Ltd.,Q2 FY26,331,0.2,mixed,4,0.8,0.0,0.0,0.0,0.0
332,OBEROIRLTY,Oberoi Realty Ltd.,Q2 FY26,332,-0.2,mixed,6,-0.0,-0.8,0.0,0.0,0.0
333,OFSS,Oracle Financial Services Software Ltd.,Q2 FY26,333,-0.195,mixed,2,0.0,-0.78,0.0,0.0,0.0
334,OIL,Oil India Ltd.,Q2 FY26,334,-0.2075,mixed,4,-0.03,-0.8,0.0,0.0,0.0
335,OLAELEC,Ola Electric Mobility Ltd.,Q2 FY26,335,-0.3925,mixed,5,-0.79,-0.78,0.0,0.0,0.0
336,OLECTRA,Olectra Greentech Ltd.,Q2 FY26,336,0.02,mixed,2,0.83,-0.75,0.0,0.0,0.0
337,ONESOURCE,Onesource Specialty Pharma Ltd.,Q2 FY26,337,0.1975,mixed,3,0.79,0.0,0.0,0.0,0.0
338,ONGC,Oil & Natural Gas Corporation Ltd.,Q2 FY26,338,0.405,improving,3,0.83,0.79,0.0,0.0,0.0
339,PAGEIND,Page Industries Ltd.,Q2 FY26,339,0.3775,mixed,2,0.75,0.76,0.0,0.0,0.0
340,PARADEEP,Paradeep Phosphates Ltd.,Q2 FY26,340,0.39,mixed,5,0.78,0.78,0.0,0.0,0.0
341,PATANJALI,Patanjali Foods Ltd.,Q2 FY26,341,0.0975,mixed,4,0.39,0.0,0.0,0.0,0.0
342,PAYTM,One 97 Communications Ltd.,Q2 FY26,342,0.2975,mixed,6,0.38,0.81,0.0,0.0,0.0
343,PCBL,PCBL Chemical Ltd.,Q2 FY26,343,-0.4275,weakening,3,-0.82,-0.89,0.0,0.0,0.0
344,PERSISTENT,Persistent Systems Ltd.,Q2 FY26,344,0.3975,mixed,5,0.79,0.8,0.0,0.0,0.0
345,PETRONET,Petronet LNG Ltd.,Q2 FY26,345,-0.19,mixed,2,-0.76,0.0,0.0,0.0,0.0
346,PFC,Power Finance Corporation Ltd.,Q2 FY26,346,-0.005,mixed,2,0.75,-0.77,0.0,0.0,0.0
347,PFIZER,Pfizer Ltd.,Q2 FY26,347,0.1825,mixed,2,0.73,0.0,0.0,0.0,0.0
348,PFOCUS,Prime Focus Ltd.,Q2 FY26,348,0.1,mixed,6,-0.42,0.82,0.0,0.0,0.0
349,PGEL,PG Electroplast Ltd.,Q2 FY26,349,-0.4175,weakening,3,-0.82,-0.85,0.0,0.0,0.0
350,PHOENIXLTD,Phoenix Mills Ltd.,Q2 FY26,350,0.4125,improving,3,0.85,0.8,0.0,0.0,0.0
351,PIDILITIND,Pidilite Industries Ltd.,Q2 FY26,351,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
352,PIIND,PI Industries Ltd.,Q2 FY26,352,-0.1975,mixed,2,-0.79,0.0,0.0,0.0,0.0
353,PINELABS,Pine Labs Ltd.,Q2 FY26,353,0.3925,mixed,2,0.79,0.78,0.0,0.0,0.0
354,PIRAMALFIN,Piramal Finance Ltd.,Q2 FY26,354,0.395,mixed,6,0.78,0.8,0.0,0.0,0.0
355,PNB,Punjab National Bank,Q2 FY26,355,0.1125,mixed,2,0.0,0.0,0.0,0.75,0.0
356,PNBHOUSING,PNB Housing Finance Ltd.,Q2 FY26,356,0.395,mixed,5,0.77,0.81,0.0,0.0,0.0
357,POLICYBZR,PB Fintech Ltd.,Q2 FY26,357,0.41,improving,6,0.81,0.83,0.0,0.0,0.0
358,POLYCAB,Polycab India Ltd.,Q2 FY26,358,0.4025,improving,5,0.79,0.82,0.0,0.0,0.0
359,POLYMED,Poly Medicure Ltd.,Q2 FY26,359,0.1875,mixed,1,0.75,0.0,0.0,0.0,0.0
360,POONAWALLA,Poonawalla Fincorp Ltd.,Q2 FY26,360,0.1025,mixed,6,0.4,0.01,0.0,0.0,0.0
361,POWERGRID,Power Grid Corporation of India Ltd.,Q2 FY26,361,-0.2025,mixed,2,0.0,-0.81,0.0,0.0,0.0
362,POWERINDIA,Hitachi Energy India Ltd.,Q2 FY26,362,0.395,mixed,5,0.79,0.79,0.0,0.0,0.0
363,PPLPHARMA,Piramal Pharma Ltd.,Q2 FY26,363,-0.1975,mixed,2,-0.79,0.0,0.0,0.0,0.0
364,PREMIERENE,Premier Energies Ltd.,Q2 FY26,364,0.405,improving,5,0.83,0.79,0.0,0.0,0.0
365,PRESTIGE,Prestige Estates Projects Ltd.,Q2 FY26,365,0.2125,mixed,4,0.82,0.03,0.0,0.0,0.0
366,PTCIL,PTC Industries Ltd.,Q2 FY26,366,-0.0025,mixed,4,0.78,-0.79,0.0,0.0,0.0
367,PVRINOX,PVR INOX Ltd.,Q2 FY26,367,0.3975,mixed,5,0.81,0.78,0.0,0.0,0.0
368,PWL,Physicswallah Ltd.,Q2 FY26,368,-0.005,mixed,2,0.74,-0.76,0.0,0.0,0.0
369,RADICO,Radico Khaitan Ltd,Q2 FY26,369,0.38,mixed,5,0.78,0.74,0.0,0.0,0.0
370,RAILTEL,Railtel Corporation Of India Ltd.,Q2 FY26,370,-0.005,mixed,3,0.74,-0.76,0.0,0.0,0.0
371,RAINBOW,Rainbow Childrens Medicare Ltd.,Q2 FY26,371,0.1975,mixed,1,0.79,0.0,0.0,0.0,0.0
372,RAMCOCEM,The Ramco Cements Ltd.,Q2 FY26,372,0.3925,mixed,4,0.83,0.74,0.0,0.0,0.0
373,RBLBANK,RBL Bank Ltd.,Q2 FY26,373,0.1095,mixed,1,0.0,0.0,0.0,0.73,0.0
374,RECLTD,REC Ltd.,Q2 FY26,374,0.3775,mixed,4,0.73,0.78,0.0,0.0,0.0
375,REDINGTON,Redington Ltd.,Q2 FY26,375,0.1925,mixed,3,0.77,0.0,0.0,0.0,0.0
376,RELIANCE,Reliance Industries Ltd.,Q2 FY26,376,0.1875,mixed,3,0.75,0.0,0.0,0.0,0.0
377,RHIM,RHI MAGNESITA INDIA LTD.,Q2 FY26,377,-0.255,mixed,4,-0.24,-0.78,0.0,0.0,0.0
378,RITES,RITES Ltd.,Q2 FY26,378,0.43,improving,2,0.86,0.86,0.0,0.0,0.0
379,RKFORGE,Ramkrishna Forgings Ltd.,Q2 FY26,379,-0.39,mixed,5,-0.79,-0.77,0.0,0.0,0.0
380,RPOWER,Reliance Power Ltd.,Q2 FY26,380,0.07,mixed,5,0.25,0.03,0.0,0.0,0.0
381,RRKABEL,R R Kabel Ltd.,Q2 FY26,381,0.4175,improving,4,0.82,0.85,0.0,0.0,0.0
382,RVNL,Rail Vikas Nigam Ltd.,Q2 FY26,382,-0.3775,mixed,3,-0.75,-0.76,0.0,0.0,0.0
383,SAGILITY,Sagility Ltd.,Q2 FY26,383,0.385,mixed,5,0.76,0.78,0.0,0.0,0.0
384,SAIL,Steel Authority of India Ltd.,Q2 FY26,384,-0.1825,mixed,3,0.02,-0.75,0.0,0.0,0.0
385,SAILIFE,Sai Life Sciences Ltd.,Q2 FY26,385,0.1975,mixed,4,0.79,0.0,0.0,0.0,0.0
386,SAMMAANCAP,Sammaan Capital Ltd.,Q2 FY26,386,0.4475,improving,2,0.9,0.89,0.0,0.0,0.0
387,SAPPHIRE,Sapphire Foods India Ltd.,Q2 FY26,387,-0.39,mixed,3,-0.8,-0.76,0.0,0.0,0.0
388,SARDAEN,Sarda Energy and Minerals Ltd.,Q2 FY26,388,0.3925,mixed,6,0.78,0.79,0.0,0.0,0.0
